2024-02-22 15:49:22,462 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Configure stats pid to 15730
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Loading settings from /Users/nhassen/.config/wandb/settings
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Loading settings from /Users/nhassen/Documents/MLOPS/code/gihub/GFN-Benchmarks/wandb/settings
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/hypergrid/experiments/SUBT_toy_grid_dag.py', 'program_abspath': '/Users/nhassen/Documents/MLOPS/code/gihub/GFN-Benchmarks/src/hypergrid/experiments/SUBT_toy_grid_dag.py', 'program': '/Users/nhassen/Documents/MLOPS/code/gihub/GFN-Benchmarks/src/hypergrid/experiments/SUBT_toy_grid_dag.py'}
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:_log_setup():526] Logging user logs to /Users/nhassen/Documents/MLOPS/code/gihub/GFN-Benchmarks/wandb/run-20240222_154922-abzh7gax/logs/debug.log
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/nhassen/Documents/MLOPS/code/gihub/GFN-Benchmarks/wandb/run-20240222_154922-abzh7gax/logs/debug-internal.log
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:init():566] calling init triggers
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:init():616] starting backend
2024-02-22 15:49:22,463 INFO    MainThread:15730 [wandb_init.py:init():620] setting up manager
2024-02-22 15:49:22,465 INFO    MainThread:15730 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-22 15:49:22,467 INFO    MainThread:15730 [wandb_init.py:init():628] backend started and connected
2024-02-22 15:49:22,470 INFO    MainThread:15730 [wandb_init.py:init():720] updated telemetry
2024-02-22 15:49:22,528 INFO    MainThread:15730 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-22 15:49:22,875 INFO    MainThread:15730 [wandb_run.py:_on_init():2262] communicating current version
2024-02-22 15:49:23,247 INFO    MainThread:15730 [wandb_run.py:_on_init():2271] got version response 
2024-02-22 15:49:23,247 INFO    MainThread:15730 [wandb_init.py:init():804] starting run threads in backend
2024-02-22 15:49:25,783 INFO    MainThread:15730 [wandb_run.py:_console_start():2241] atexit reg
2024-02-22 15:49:25,783 INFO    MainThread:15730 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-22 15:49:25,783 INFO    MainThread:15730 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-22 15:49:25,783 INFO    MainThread:15730 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-22 15:49:25,784 INFO    MainThread:15730 [wandb_init.py:init():847] run started, returning control to user process
2024-02-22 15:57:06,380 WARNING MsgRouterThr:15730 [router.py:message_loop():77] message_loop has been closed
